date,open,high,close,low,volume
2012-01-11,2444.757,2453.146,2435.608,2423.322,5870567400.0
2012-01-12,2426.82,2464.378,2435.219,2423.321,4712127500.0
2012-01-13,2438.405,2445.787,2394.334,2374.545,4551399700.0
2012-01-16,2376.953,2394.498,2345.649,2345.633,3052714500.0
2012-01-17,2347.568,2462.429,2460.601,2329.248,6420564800.0
2012-01-18,2464.92,2485.498,2422.189,2414.527,6389235800.0
2012-01-19,2423.857,2480.206,2468.35,2414.985,5561572600.0
2012-01-20,2476.73,2510.34,2504.086,2462.594,5452978300.0
2012-01-30,2508.877,2508.877,2460.72,2460.396,4351714800.0
2012-01-31,2462.338,2472.839,2464.26,2447.768,3070150100.0
2012-02-01,2458.233,2481.664,2428.994,2423.45,3501537400.0
2012-02-02,2437.47,2486.238,2486.238,2429.709,4206698500.0
2012-02-03,2478.336,2514.645,2506.09,2470.28,4994924000.0
2012-02-06,2511.172,2520.758,2504.322,2488.709,4507990500.0
2012-02-07,2489.032,2489.032,2457.954,2441.698,3967916400.0
2012-02-08,2456.422,2534.162,2528.236,2450.999,5618645600.0
2012-02-09,2525.589,2546.025,2529.231,2513.131,5929975100.0
2012-02-10,2521.676,2560.027,2533.624,2521.155,6157587700.0
2012-02-13,2504.41,2553.446,2531.981,2496.305,5191397300.0
2012-02-14,2528.967,2533.264,2522.107,2506.537,4043010100.0
2012-02-15,2515.829,2562.071,2549.607,2511.289,5809037000.0
2012-02-16,2544.641,2559.345,2536.074,2519.043,5439543100.0
2012-02-17,2551.815,2558.345,2537.086,2522.856,3899471600.0
2012-02-20,2571.907,2574.746,2540.706,2539.904,5615332900.0
2012-02-21,2544.835,2562.909,2562.453,2520.786,4789480800.0
2012-02-22,2564.315,2598.863,2597.476,2560.343,7637665600.0
2012-02-23,2595.779,2614.537,2606.256,2590.518,7037712600.0
2012-02-24,2607.339,2648.017,2648.017,2602.776,8599970800.0
2012-02-27,2658.121,2693.843,2656.573,2656.573,10151403400.0
2012-02-28,2652.342,2671.833,2662.463,2641.459,7759253600.0
2012-02-29,2655.858,2666.647,2634.143,2631.784,5912020600.0
2012-03-01,2622.737,2647.785,2633.345,2621.858,4214844100.0
2012-03-02,2637.961,2679.934,2679.934,2637.961,6412203400.0
2012-03-05,2687.74,2694.612,2662.698,2660.955,7139545800.0
2012-03-06,2654.799,2657.963,2621.052,2615.6,6244714800.0
2012-03-07,2596.479,2628.585,2603.005,2594.128,5694873300.0
